,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
10,CCPL00003i,0.020990366,0.021732634,0.018643185,0.01774193,0.019757964,0.019951873,0.019075328,0.019951873,0.021399178,0.020644417,0.018298388,0.021925574,0.018653795,0.019564454,0.019606825,0.022081131,0.019833177,0.022081131,0.01997312,0.018287767,0.018592946,0.026000613,0.022371769,0.00955598,0.022595121,0.023488933,0.022595121,0.022088135,0.023295006,0.01289847,0.014567275,0.02306816,0.020514054,0.015202496,0.020514054,0.020579478,0.016792996,0.020785876,0.019626528,0.018617034,0.008832205,0.018617034,0.019600712,0.017267644,0.017435612,0.020487789,0.020870859,0.020487789,0.020149156,0.020828029,0.01154201,0.020628437,0,0.016370106,0.017326856,0.01875454,0.020628437,0.021152535,0.018605595,0.018540481,0.016370106,0.017326856,0.01875454,0.014766622,0.018764464,0.019519012
11,CCPL00003p,0.014343322,0.035453089,0.031562444,0.031388983,0.019060735,0.019624408,0.031485848,0.022263259,0.031765942,0.030916965,0.032516245,0.03385802,0.029836094,0.02963678,0.014730178,0.016100699,0.029120998,0.019526681,0.029915115,0.028911239,0.030447386,0.006059621,0.006274821,0.042124566,0.034145854,0.008257402,0.016110899,0.006204746,0.009248886,0.008002653,0.001094247,0.038246084,0.030697657,0.005989861,0.012513503,0.00397364,0.007942966,0.007527488,0.038050164,0.030566156,0.005912416,0.012380424,0.00391629,0.00796908,0.007622151,0.018546192,0.037658703,0.028040076,0.038405385,0.037094247,0.038661636,0.030548913,0.021688543,0.031153148,0.030262277,0.03107325,0.012754685,0.004650396,0.008885288,0.007574521,0.012666226,0.012735568,0.013955046,0.007721554,0.007889376,0.007634943
12,CCPL00007s,0.018510191,0.018415263,0.019083643,0.01915906,0.017901143,0.017317295,0.01796307,0.018275509,0.019556576,0.017041855,0.017020492,0.017874599,0.019253319,0.018067118,0.018055575,0.0145329,0.019935895,0.020167377,0.018185094,0.016874606,0.013716738,0.018406978,0.018160479,0.015973194,0.018783215,0.017369438,0.021149522,0.018631162,0.01594558,0.018594477,0.004862049,0.019427205,0.019914385,0.019888261,0.022204043,0.004586938,0.019258857,0.019275289,0.019178692,0.019106233,0.019777546,0.021940975,0.003138979,0.018979663,0.018484788,0.019020256,0.019363953,0.021385536,0.019538805,0.017321767,0.018652892,0.019458229,0.01865478,0.019365547,0.01336043,0.006717797,0.020581571,0.020217819,0.019360654,0.019488512,0.022336341,0.02002549,0.018898766,0.01944072,0.018671546,0.013894529
13,CCPL000081,0.017186362,0.024246005,0.014731628,0.018450541,0.017945845,0.018929493,0.018136982,0.018102936,0.018430745,0.017894948,0.017346112,0.023863129,0.018361187,0.022388296,0.021979416,0.022080606,0.021785488,0.021628557,0.02237799,0.021919014,0.021633536,0.024567245,0.023085376,0.020629138,0.021078059,0.02037145,0.019605238,0.020320345,0.020573283,0.021544516,0.019512167,0.019809511,0.020300755,0.020184886,0.019945167,0.02034278,0.01975663,0.019610563,0.018482959,0.019056527,0.018754005,0.018006207,0.018576954,0.018514056,0.01833423,0.018406946,0.004136743,0.007185566,0.005922273,0.002739365,0.005864237,0.018713837,0.018352183,0.018636892,0.018388143,0.017902475,0.007648826,0.006885692,0.003759035,0.007214173,0.004890951,0.007412852,0.00715515,0.006357574,0.00554128,0.006354935
14,CCPL00008b,0.040942471,0.010487087,0.051534336,0.042785402,0.053480115,0.006779572,0.046927065,0.054643553,0.054830972,0.054130971,0.053345818,0.036478534,0.016389314,0.012697178,0.017194765,0.038175397,0.013349996,0.017971972,0.018082643,0.017664803,0.017117452,0.047242332,0.038827788,0.049140494,0.009345125,0.042731598,0.050277781,0.050474156,0.049789537,0.049011033,0.014900547,0.004408882,0.048999492,0.012524679,0.006154434,0.006380178,0.004992204,0.004129236,0.015760664,0.040356118,0.013710652,0.01658389,0.016661888,0.016155878,0.015655922,0.050925743,0.012624442,0.00328195,0.003396959,0.002795038,0.001991236,0.044397797,0.05208553,0.052272987,0.051582236,0.050792735,0.013156601,0.013233359,0.012892655,0.012578934,0.002309291,0.00242383,0.003248256,0.002928652,0.003426868,0.002732263
15,CCPL000098,0.022377217,0.019697955,0.028331213,0.013293912,0.025923274,0.027959595,0.028286688,0.018583884,0.02744587,0.026051559,0.02849021,0.016272312,0.017859545,0.020928657,0.015556596,0.039838165,0.017954452,0.023178106,0.017047429,0.01561084,0.018062463,0.01658389,0.019194886,0.015021636,0.037084151,0.016545456,0.021220343,0.015851889,0.015048195,0.016661888,0.026869966,0.005785062,0.048932809,0.002361941,0.028819049,0.002672049,0.005918888,0.002309291,0.024671378,0.029367706,0.026850468,0.018527336,0.026052555,0.024775321,0.027035335,0.046055634,0.005943518,0.026767706,0.0044606,0.001939028,0.006183811,0.048873175,0.029604472,0.047944386,0.046108201,0.04912011,0.028781192,0.002253196,0.006026593,0.002487753,0.02805387,0.026931563,0.028979361,0.004453837,0.003032405,0.006272835
16,CCPL0000ak,0.018496083,0.043779742,0.01623938,0.026609981,0.01690224,0.009507678,0.012675171,0.016239623,0.005093815,0.009507678,0.016748089,0.042768802,0.020903787,0.028147893,0.020584285,0.019855641,0.018154891,0.021748014,0.018521786,0.019855641,0.023003256,0.037700083,0.018794294,0.037482664,0.043669596,0.041604508,0.05032919,0.042220693,0.043669596,0.038486853,0.022845268,0.017642392,0.017780352,0.017268395,0.02233181,0.015647763,0.017780352,0.019094257,0.021831742,0.026560158,0.02575399,0.033979852,0.025030456,0.026560158,0.023795394,0.017947478,0.018427126,0.021733189,0.016158475,0.017947478,0.021399133,0.014863047,0.017208461,0.0093029,0,0.016563451,0.01957052,0.012855803,0.014863047,0.018280661,0.016935199,0.017208461,0.023980744,0.0093029,0.016132347,0.016563451
17,CCPL0000al,0.023251327,0.027252739,0.054782894,0.026043648,0.011094856,0.009817617,0.009391819,0.022887088,0.027008673,0.025941508,0.024097333,0.021020541,0.038824968,0.018081842,0.020020654,0.01994903,0.019057138,0.016847799,0.01836306,0.018278122,0.017298417,0.032757849,0.020413203,0.022744467,0.023199568,0.022189701,0.021184206,0.01996116,0.015848329,0.019257622,0.037183549,0.04880866,0.049537394,0.048438262,0.039002791,0.035027079,0.033205725,0.038123373,0.020961704,0.022586025,0.02125196,0.017332466,0.021650784,0.020491006,0.016470877,0.011786546,0.009526379,0.019122388,0.024264852,0.022180729,0.019382751,0.009690486,0.020391157,0.021968329,0.021663442,0.019268449,0.018873895,0.0224445,0.020991618,0.019405613,0.020516057,0.020375643,0.017659342,0.01707592,0.019947018,0.019236986
18,CCPL0000am,0.021562109,0.024255091,0.053060081,0.045501813,0.052405369,0.02610383,0.025194354,0.023864212,0.024359552,0.01527892,0.026530072,0.017616976,0.038012408,0.03069233,0.037249908,0.018508883,0.016700927,0.01661556,0.017194236,0.017418936,0.017507361,0.034925185,0.027210375,0.034239873,0.015092897,0.016482823,0.017841432,0.017449487,0.018543368,0.015043859,0.012259954,0.002761583,0.03124685,0.035191994,0.03777767,0.035964388,0.044673178,0.02870523,0.011637583,0.024609223,0.027989423,0.030084005,0.029224968,0.037087806,0.022373423,0.030581491,0.034483206,0.036917154,0.0354563,0.043994159,0.02806432,0.016608909,0.017985703,0.016311286,0.01938894,0.011374906,0.017525695,0.017464245,0.019223275,0.016185369,0.019267451,0.018343646,0.017358569,0.018218247,0.01574056,0.020057376
19,CCPL0000b1,0.024117967,0.027318114,0.020519214,0.017421814,0.02147807,0.021358626,0.021420682,0.017025709,0.024164775,0.020060146,0.018733047,0.010552171,0.018584698,0.013827812,0.024810052,0.024520313,0.025795201,0.025354663,0.010343761,0.018048558,0.027269552,0.022828469,0.019304229,0.028931791,0.02856192,0.030351793,0.029351393,0.014868124,0.023633257,0.031529937,0.011942717,0.018615598,0.018415071,0.019216085,0.019624505,0.018766945,0.014804102,0.018392967,0.016365478,0.016208844,0.017682651,0.017665919,0.013134058,0.010224562,0.016981922,0.004553097,0.019895311,0.019121042,0.024242138,0.017756585,0.016592668,0.020055229,0.019057252,0.023980463,0.0177051,0.016671829,0.018605389,0.026052242,0.018624915,0.012807756,0.025133988,0.019638298,0.01600121,0.016742866,0.026766757,0.018292654
