,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
10,CCPL00003i,45.03825448,44.85291899,45.56457929,45.82659438,45.26701251,45.25274222,45.52661044,45.25274222,44.94674162,45.11288583,45.63268372,44.82237808,45.54440227,45.38125721,45.30895246,44.82277115,45.34506885,44.82277115,45.2353568,45.62514389,45.55461557,37.51519849,38.14400908,41.81611133,38.46110909,37.91784215,38.46110909,38.73278908,38.019443,40.61730571,49.19816851,47.18117966,47.87832508,49.02158528,47.87832508,47.92883773,48.55609838,47.63709712,46.75302167,47.13709263,50.29366319,47.13709263,46.9162329,47.36058227,47.32149884,40.92643485,40.51659229,40.92643485,41.14375895,40.60222724,43.1441843,45.8929703,inf,46.692537,46.46139592,45.68334065,46.81680445,46.74309797,47.18147825,47.2016053,46.692537,46.46139592,45.68334065,47.00799742,45.41273976,46.44383916
11,CCPL00003p,47.10113259,43.17933312,43.68749666,43.71167215,45.84894609,45.8439843,43.69699541,45.2220876,43.65942389,43.7780528,43.5563132,43.24210061,43.79159598,43.82070411,46.85705587,46.55832368,43.89579026,45.63445328,43.78006676,43.92822057,43.70233671,57.4707387,57.31917971,49.05083245,49.96689269,56.1873574,53.22399538,57.36795335,55.63429894,56.33839803,64.2958666,48.86242925,49.82229634,57.12723649,53.71322978,58.69513359,55.68719167,56.00215664,48.85297276,49.8092587,57.15621733,53.72788701,58.72649404,55.64115986,55.90885447,43.01624629,39.92845446,41.21085576,39.84324766,39.99465059,39.8138775,43.9714175,45.46086467,43.88159568,44.00792186,43.89638863,53.51809842,58.71728926,55.11005287,55.78120329,51.77731508,51.75360479,51.35942065,55.83627557,55.80721114,55.6944904
12,CCPL00007s,45.48091959,44.69014029,44.49582785,44.55588222,44.87943965,45.39562103,44.79118485,44.83546983,44.48916435,45.15683195,45.4540338,48.17616919,47.84443488,48.11891419,48.22319738,49.08762436,47.70349879,47.65034318,48.09372618,48.44745183,49.33520042,45.14432349,45.20445679,45.75251042,45.05463492,45.39600018,44.55743775,45.09379542,45.77062957,45.094646,50.73368323,44.71370493,44.61074288,44.62083462,44.14864013,50.98094806,44.77382274,44.75120214,45.37706312,45.39274166,45.2495424,44.8023509,53.23378979,45.4409785,45.53488648,45.56243554,45.38300132,44.96532927,45.37289323,45.87550236,45.65131157,46.77679398,46.95440759,46.79273562,48.46865687,51.40404737,44.29182471,44.34734713,44.55747486,44.49755059,44.55596309,45.04886812,45.27320261,45.49373726,45.64631867,46.49357801
13,CCPL000081,47.28336615,45.76105801,47.95312781,46.98573939,47.1090295,46.92844073,47.06431593,47.08321775,46.99449566,47.12215998,47.36567882,45.74619559,46.87988673,46.01151673,46.09564819,46.0823711,46.13321531,46.16402505,46.0185422,46.10761304,46.19412545,41.39843918,41.6706909,42.19582749,42.11556687,42.25271636,42.43274678,42.2580411,42.20890606,42.10280261,46.50813203,46.454312,46.33817822,46.37639511,46.43352374,46.34220869,46.46644463,46.54096116,46.14072433,45.99925529,46.07927274,46.25790187,46.12154282,46.1336503,46.17642919,44.8257461,51.31183683,48.91315631,49.74264143,53.0869152,50.17531515,46.35725025,46.44225718,46.37428908,46.43276839,46.58385784,48.46184381,48.91174922,51.55466657,48.87213333,50.25818738,48.44690701,48.74661515,49.05141161,50.63763054,49.69020707
14,CCPL00008b,48.89424282,54.80941706,47.99352034,48.70930737,47.75737081,56.70394405,48.30447469,47.64914147,47.63235808,47.70606751,47.7716741,39.69559536,43.61050133,44.29225428,43.10554621,39.49815865,44.0685253,42.82418165,42.78561955,43.00064366,43.14507607,47.61882847,48.36315135,47.35993225,54.54142624,47.9426589,47.24340497,47.22431315,47.30430645,47.37528251,39.37886564,42.02019002,33.57263603,39.57611894,40.63351261,40.54935269,41.47761965,42.3029458,42.56915577,38.37885798,43.06013469,42.25251554,42.21803493,42.47686504,42.61967956,29.19932852,35.60710928,40.25974496,40.02265683,41.56472562,42.8635798,48.14404927,47.45689135,47.43921662,47.51661075,47.58604289,40.80396621,40.76097874,41.01281963,41.1091539,39.81244253,39.18796957,37.91985895,37.95026819,37.31115262,40.85377153
15,CCPL000098,45.63051204,45.98244278,44.40055676,47.71146473,45.02212559,44.4730865,44.39873347,46.23462796,44.56752526,45.01954567,44.37107439,42.06080122,41.1278909,41.45491957,42.13193678,38.6443064,41.08514218,41.072888,41.39572192,42.14790141,41.06731721,42.25251554,41.62568477,43.08621564,38.74860696,42.24049547,41.20554792,42.51534294,43.09468945,42.21803493,29.33734127,36.39222149,26.73145638,39.7168149,29.12233735,38.83477765,36.35707909,39.81244253,44.53533394,43.52837874,43.90029761,45.52535393,44.07609686,44.53546687,43.8748202,33.63991928,40.80093948,36.35136979,41.79227041,46.49563574,40.43782492,47.15152992,49.32358633,47.25050472,47.51917983,47.13105844,28.88799323,39.77478149,37.4017147,39.38137999,44.08073244,44.44370664,43.90529519,39.15678917,40.19325023,40.42254097
16,CCPL0000ak,42.59326031,38.8347438,43.14163105,41.00734184,42.95760481,45.45389971,44.22198376,43.27442525,48.17231152,45.45389971,43.01859923,40.29446861,43.39904951,42.11417959,43.46948584,43.62411738,44.02916774,43.30712385,43.94359477,43.62411738,43.00342178,49.811068,52.73742516,49.77551963,49.07925419,49.28671867,48.52016577,49.22625823,49.07925419,49.62849874,45.1934254,45.97204686,45.73802668,45.87587222,44.92201135,46.30425244,45.73802668,45.56890924,49.27755961,48.34804297,48.47324736,47.39636407,48.60655623,48.34804297,48.82658409,45.81025608,45.74029488,45.15020533,46.30171931,45.81025608,45.14591747,43.86023512,43.23077864,45.89930036,inf,43.37647001,43.44894543,45.16908498,44.53856723,43.63406651,41.17540599,41.008732,39.64604293,46.2841021,43.91924605,43.37647001
17,CCPL0000al,31.63292412,30.99681954,27.93944502,31.16873991,34.81030811,37.18519538,35.55749218,31.72949576,31.20230812,31.1833777,31.70567062,44.20092859,41.53279225,44.85178582,44.39875554,44.71718414,44.6121733,45.14939436,44.77855095,44.81196743,45.04208203,44.10708183,46.1664521,45.70676543,45.84349444,45.80040768,46.02546608,46.25882013,47.27328085,46.45492971,49.58840352,48.40946935,48.42656406,48.43819636,49.38567954,49.94874339,50.08023909,49.57039193,45.0284605,44.91643658,44.96002386,45.84334508,44.8784821,45.14574619,46.09494732,41.10106878,41.97082987,39.02571013,38.14315024,38.35858828,39.19591527,41.9256816,39.51904433,38.75958779,39.77382545,39.3989314,39.00687016,38.37090291,38.52052537,39.02024242,44.32924985,44.32385743,44.92816251,46.62735183,45.98120435,46.22148375
18,CCPL0000am,35.7795674,35.08461892,31.61819031,32.30207793,31.67355051,34.87949352,34.8923457,35.1938218,35.46665243,37.15884946,34.75413448,45.30212567,41.95854823,42.88946842,42.04684225,45.08339269,45.53462371,45.57737836,45.3979691,45.33786292,45.33375641,43.36659943,44.45798126,43.45312801,46.99527401,46.61111943,46.27904945,46.37047155,46.10206737,47.00876586,54.50170151,60.97500864,50.44572833,49.92240818,49.61970912,49.90876685,48.88725053,50.80697968,53.4220076,50.17895894,49.61102,49.30505445,49.53002256,48.38982598,50.58331109,50.44153736,49.91289688,49.62209016,49.87462984,48.85591377,50.80717949,47.47157641,47.1344949,47.64280437,46.79341691,49.13401946,46.40292047,46.4341451,45.99961853,46.74797755,45.29110832,45.48811304,45.75015382,45.9263228,46.89333931,41.68971938
19,CCPL0000b1,43.55039154,42.96294092,44.21031169,44.92964649,44.00957251,44.0330082,44.04772377,45.03286539,43.63423382,44.30527356,44.63317957,37.04646025,34.95511297,35.98684501,33.67180442,33.74220031,33.38827072,33.56291021,37.06186763,34.61094269,33.25345488,24.19247756,25.15359629,23.13299392,23.18148869,23.00345161,23.09843861,26.65308529,24.56360182,22.77558265,45.42398441,43.4966016,43.54484057,43.3541166,43.27198666,43.74572424,44.46742302,43.5468386,43.30325473,43.34694657,42.9157784,42.95457213,44.8072899,45.21497382,43.14775859,51.64449279,45.24862924,45.4207761,44.61834876,45.7888632,46.02904392,45.08329083,45.30500825,44.53605658,45.66214059,45.87831307,46.25411389,44.97697249,46.38594125,47.88615559,44.65503081,45.61433351,46.42576412,38.56783085,37.3902955,44.60192049
